group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
airlight_beta_bin,A<0.65 | 0.8<=beta<1.1,61,35,26,27,22,33.046085670221366,33.140140748153584,0.09405507793222077,0.09389615299753729,-2.3131318814187694,2.070859493334467,-5.460540748391125,5.218244276953364,0.0006282681324442879
airlight_beta_bin,A<0.65 | 1.1<=beta<1.4,67,28,39,27,35,33.68489875693387,33.250654140373484,-0.434244616560376,-0.35853783279578977,-3.033948412071976,1.701524011244251,-5.662731209929497,3.421524588632728,0.00020000116148991372
airlight_beta_bin,A<0.65 | 1.4<=beta<1.7,54,28,26,23,20,31.720020672076636,31.76347824287936,0.043457570802719406,0.1804914653575267,-2.478240568204229,2.3823546305278995,-4.243934490673208,3.761334003476499,0.0010376462229975947
airlight_beta_bin,A<0.65 | beta<0.8,55,28,27,20,25,36.77931139717552,36.7274296342725,-0.05188176290302167,0.030228095967238744,-2.222644895723228,2.6597529221727387,-3.17429149313071,4.287792858262527,-0.00031840259378606623
airlight_beta_bin,A<0.65 | beta>=1.7,58,32,26,28,23,31.0075846909706,31.048648576705272,0.0410638857346665,0.23267177856202892,-2.6254874029560553,2.4284876034638145,-11.247886963170192,6.371290617120266,0.0006942152976989746
airlight_beta_bin,A>=0.95 | 0.8<=beta<1.1,25,15,10,13,7,30.85163375799136,31.050421404217218,0.19878764622585066,0.30055199335478733,-1.599291032498629,1.8273167124945062,-3.543708774539091,2.299015340356796,0.0006926560401916504
airlight_beta_bin,A>=0.95 | 1.1<=beta<1.4,30,19,11,16,10,30.345376292049483,30.458220437611697,0.11284414556221425,0.4162291386416097,-1.4532925233003333,1.28878525020456,-2.025646512402858,1.8438867285522917,0.00011973778406778971
airlight_beta_bin,A>=0.95 | 1.4<=beta<1.7,22,11,11,6,8,29.806972459831126,29.68400359679357,-0.12296886303755918,-0.041627041694164646,-1.1108261226807437,0.7191650781987861,-3.256247740177592,2.130101800587756,-0.0005525431849739768
airlight_beta_bin,A>=0.95 | beta<0.8,19,12,7,12,7,33.075930474292775,33.6898390939185,0.6139086196257185,0.732360351630831,-1.4896714722874562,2.281864313756616,-2.228445967206575,4.224717557218838,-0.0005012029095699912
airlight_beta_bin,A>=0.95 | beta>=1.7,30,18,12,15,11,27.982738030462045,28.102781124903405,0.12004309444135354,0.23218806866204744,-1.2418251139214216,1.750146871396921,-2.187387998420931,2.26811607133941,-0.0002725144227345785
