target_margin,feature_set,head,split_family,split_group,splits,eligible_for_pass,intervention_precision_mean,intervention_precision_std,nochange_false_intervention_rate_mean,nochange_false_intervention_rate_std,strong_nochange_false_intervention_rate_mean,strong_nochange_false_intervention_rate_std,residual_low_false_intervention_rate_mean,residual_low_false_intervention_rate_std,mean_oracle_gated_gain_mean,mean_oracle_gated_gain_std,bootstrap_gain_p05_mean,bootstrap_gain_p05_std,oracle_recovery_mean,oracle_recovery_std,confidence_corr_mean,confidence_corr_std,intervention_rate_mean,intervention_rate_std,labeled_n_mean,labeled_n_std,ignored_n_mean,ignored_n_std,sim_delta_vs_official_mean,sim_delta_vs_official_std,precision_gap_vs_shuffled,passes_line
0.15,A_output_plus_meta,hgb,cr_strength_bin,cr_strength_bin=midhigh_cr_q3,1,1,0.6338797814207651,0.0,0.5877192982456141,0.0,0.5217391304347826,0.0,0.9444444444444444,0.0,0.6343652160912214,0.0,0.49455431417446905,0.0,0.8852464021653539,0.0,0.494222264627979,0.0,0.764,0.0,239.0,0.0,11.0,0.0,0.6343652160912214,0.0,0.06312506443963295,False
0.15,A_output_plus_meta,hgb,cr_strength_bin,cr_strength_bin=midlow_cr_q2,1,1,0.6531531531531531,0.0,0.8105263157894737,0.0,1.0,0.0,1.0,0.0,0.7160046599981651,0.0,0.5839632234189827,0.0,0.9138701508620459,0.0,0.3772264674848059,0.0,0.924,0.0,241.0,0.0,9.0,0.0,0.7160046599981651,0.0,0.015985011560232798,False
0.15,A_output_plus_meta,hgb,cr_strength_bin,cr_strength_bin=strong_cr_q4,1,1,0.5511363636363636,0.0,0.6929824561403509,0.0,0.6831683168316832,0.0,0.8148148148148148,0.0,0.23666088550247358,0.0,0.17268886278614606,0.0,0.7526936898496223,0.0,0.4718040447373053,0.0,0.812,0.0,219.0,0.0,31.0,0.0,0.23666088550247358,0.0,0.0185276679841897,False
0.15,A_output_plus_meta,hgb,cr_strength_bin,cr_strength_bin=weak_cr_q1,1,1,0.6336206896551724,0.0,0.9659090909090909,0.0,0.0,0.0,1.0,0.0,0.7034083727185046,0.0,0.5675907842037846,0.0,0.914445894605768,0.0,0.21041294340941272,0.0,0.984,0.0,235.0,0.0,15.0,0.0,0.7034083727185046,0.0,0.00808877476155534,False
0.15,A_output_plus_meta,hgb,official_strength_bin,official_strength_bin=midhigh_official_q3,1,1,0.44041450777202074,0.0,0.7605633802816901,0.0,0.0,0.0,0.8333333333333334,0.0,0.1627743099715886,0.0,0.10265356517432213,0.0,0.5868967680987143,0.0,0.3990406734104346,0.0,0.816,0.0,236.0,0.0,14.0,0.0,0.1627743099715886,0.0,0.011121578479091454,False
0.15,A_output_plus_meta,hgb,official_strength_bin,official_strength_bin=midlow_official_q2,1,1,0.6299559471365639,0.0,0.9545454545454546,0.0,0.0,0.0,0.9767441860465116,0.0,0.6934403136639776,0.0,0.5708614764729835,0.0,0.8949291561787687,0.0,0.2238507165227947,0.0,0.96,0.0,233.0,0.0,17.0,0.0,0.6934403136639776,0.0,-0.0004788354721317889,False
0.15,A_output_plus_meta,hgb,official_strength_bin,official_strength_bin=strong_official_q4,1,1,0.48947368421052634,0.0,0.776,0.0,0.776,0.0,0.8947368421052632,0.0,0.1074978355874729,0.0,0.06472345298615294,0.0,0.5278706551878656,0.0,0.26925576595968304,0.0,0.856,0.0,222.0,0.0,28.0,0.0,0.1074978355874729,0.0,0.014983888292158964,False
0.15,A_output_plus_meta,hgb,official_strength_bin,official_strength_bin=weak_official_q1,1,1,0.7695473251028807,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2896185478643238,0.0,1.1280600007139157,0.0,0.971190746988282,0.0,0.22773869710633396,0.0,0.996,0.0,243.0,0.0,7.0,0.0,1.2896185478643238,0.0,-0.0022369072622645536,False
0.15,A_output_plus_meta,hgb,random,random,3,1,0.6469906095411903,0.025165394521517923,0.6865546218487394,0.04971653438802668,0.5643274853801169,0.07315787136372398,0.8169234720082178,0.0345252664295645,0.643299474999676,0.08532458501912153,0.5142016708135984,0.08436542664954949,0.9115997668067765,0.02911109651409305,0.4750045892202979,0.037403033421947035,0.848,0.014236104336041762,233.66666666666666,2.8674417556808756,16.333333333333332,2.8674417556808756,0.643299474999676,0.08532458501912153,0.04120536041200662,False
0.15,A_output_plus_meta,hgb,residual_energy_bin,residual_energy_bin=residual_high_q4,1,1,0.5318181818181819,0.0,0.8956521739130435,0.0,1.0,0.0,0.0,0.0,0.7674387901288889,0.0,0.5927919194608068,0.0,0.8905769072019838,0.0,0.36129000494110336,0.0,0.948,0.0,232.0,0.0,18.0,0.0,0.7674387901288889,0.0,0.014119066773934041,False
