eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,mean_oracle_gated_gain,bootstrap_gain_p05,official_psnr,sim_psnr,sim_delta_vs_official,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,eligible_for_pass,split_family,split,train_n,valid_n
250,208,42,0.712,0.5503355704697986,114,0.5877192982456141,210,0.6904761904761905,101,0.5742574257425742,162,0.7098765432098766,0.2353431794343901,0.1676867029107878,41.507470099469764,41.74281327890416,0.2353431794343901,0.7485027605356498,0.48886476290721054,D_internal_contrast,hgb,0.2,0.05,10967,10953,696,1,cr_strength_bin,cr_strength_bin=strong_cr_q4,750,250
250,232,18,0.968,0.6355555555555555,88,0.9318181818181818,1,1.0,0,0.0,17,1.0,0.7026887032884575,0.5737410035138989,27.08071206972368,27.78340077301214,0.7026887032884575,0.9135103089896393,0.23235484159317077,D_internal_contrast,hgb,0.2,0.05,10967,10953,672,1,cr_strength_bin,cr_strength_bin=weak_cr_q1,750,250
194,175,19,0.8556701030927835,0.5945945945945946,85,0.7058823529411765,53,0.7735849056603774,27,0.5555555555555556,56,0.875,0.5029468026048138,0.3599731059406508,34.71798953204058,35.220936334645394,0.5029468026048138,0.8713127136357203,0.39006980396719204,D_internal_contrast,hgb,0.2,0.05,10967,10953,729,1,airlight_bin,airlight_bin=0.65<=A<0.75,806,194
210,189,21,0.7380952380952381,0.7338129496402878,78,0.47435897435897434,57,0.6140350877192983,24,0.4583333333333333,54,0.7592592592592593,0.5389379898746415,0.4241749179727169,34.29958402571659,34.83852201559124,0.5389379898746415,0.8975507389426334,0.5682437342108305,D_internal_contrast,hgb,0.2,0.05,10967,10953,715,1,airlight_bin,airlight_bin=0.75<=A<0.85,790,210
175,155,20,0.8285714285714286,0.5923076923076923,78,0.6794871794871795,25,0.84,14,0.8571428571428571,32,0.875,0.5087642067134258,0.389700522324073,33.36342088468563,33.87218509139906,0.5087642067134258,0.9110633008205069,0.5380481376643204,D_internal_contrast,hgb,0.2,0.05,10967,10953,749,1,airlight_bin,airlight_bin=0.85<=A<0.95,825,175
295,269,26,0.8169491525423729,0.6787330316742082,113,0.6283185840707964,102,0.6568627450980392,53,0.49056603773584906,94,0.7127659574468085,0.7532948090209277,0.6117988536216801,35.33099180379889,36.08428661281981,0.7532948090209277,0.8951815903255814,0.4403211936386013,D_internal_contrast,hgb,0.2,0.05,10967,10953,635,1,airlight_bin,airlight_bin=A<0.65,705,295
126,116,10,0.8492063492063492,0.5714285714285714,57,0.7368421052631579,13,0.9230769230769231,7,0.8571428571428571,14,1.0,0.41440847900718936,0.27891347029434055,32.191858775186596,32.60626725419379,0.41440847900718936,0.8437512480687764,0.3593265075465465,D_internal_contrast,hgb,0.2,0.05,10967,10953,788,1,airlight_bin,airlight_bin=A>=0.95,874,126
188,172,16,0.776595744680851,0.5588235294117647,91,0.6593406593406593,56,0.7321428571428571,34,0.6764705882352942,60,0.85,0.4602990331852234,0.3311409769514729,34.817413776827486,35.27771281001271,0.4602990331852234,0.8575032018730582,0.4983861579238246,D_internal_contrast,hgb,0.2,0.05,10967,10953,732,1,beta_bin,beta_bin=0.8<=beta<1.1,812,188
199,173,26,0.7788944723618091,0.7185185185185186,72,0.5277777777777778,50,0.64,26,0.4230769230769231,45,0.8,0.7259676377461282,0.5908190496605115,33.93655153577519,34.66251917352132,0.7259676377461282,0.9340782813234166,0.5361550519021411,D_internal_contrast,hgb,0.2,0.05,10967,10953,731,1,beta_bin,beta_bin=1.1<=beta<1.4,801,199
199,182,17,0.8090452261306532,0.6333333333333333,86,0.6395348837209303,32,0.65625,14,0.5,28,0.7857142857142857,0.5184060330989004,0.40484477372065003,33.177425613676775,33.69583164677569,0.5184060330989004,0.9048987972600697,0.5094202921025921,D_internal_contrast,hgb,0.2,0.05,10967,10953,722,1,beta_bin,beta_bin=1.4<=beta<1.7,801,199
196,183,13,0.8112244897959183,0.68,74,0.6486486486486487,89,0.6292134831460674,39,0.4358974358974359,108,0.75,0.6892821465722453,0.5414913419140935,37.25265986824386,37.94194201481611,0.6892821465722453,0.8950980668183759,0.4022151623868729,D_internal_contrast,hgb,0.2,0.05,10967,10953,721,1,beta_bin,beta_bin=beta<0.8,804,196
218,194,24,0.8623853211009175,0.6204819277108434,88,0.7159090909090909,23,0.7391304347826086,12,0.5833333333333334,9,0.8888888888888888,0.5078962032302013,0.40233378926418684,32.352025138854216,32.85992134208442,0.5078962032302013,0.8828529529907058,0.3920786767317571,D_internal_contrast,hgb,0.2,0.05,10967,10953,710,1,beta_bin,beta_bin=beta>=1.7,782,218
