name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split_family,split,oracle_recovery,prob_threshold
always_residual,strict_output_proxy,baseline,199,31.486320593666946,0.9828299304947781,0.11779046117004316,0.2510137947685325,199,0,0.5276381909547738,1.0,0.5276381909547738,35,26,beta_leave_one,1.4<=beta<1.7,0.2022120308388628,
two_way_oracle,strict_output_proxy,oracle,199,31.951039791696694,0.983429592458447,0.5825096591997888,0.7157329927982782,105,94,1.0,1.0,1.0,0,0,beta_leave_one,1.4<=beta<1.7,1.0,
decision_stump,strict_output_proxy,stump,199,31.465015416517353,0.98264408740566,0.09648528402045158,0.22970861761894099,95,104,0.5578947368421052,0.5047619047619047,0.5276381909547738,22,8,beta_leave_one,1.4<=beta<1.7,0.1656372259182729,
ridge_logistic,strict_output_proxy,logistic,199,31.492703526616264,0.9827668304419398,0.12417339411935913,0.25739672771784855,88,111,0.5795454545454546,0.4857142857142857,0.542713567839196,20,5,beta_leave_one,1.4<=beta<1.7,0.2131696739414414,0.5203870591295742
always_lfv1,strict_output_proxy,baseline,196,35.38784521165776,0.9889203112344352,0.0,0.2753037221979693,0,196,,0.0,0.5255102040816326,0,0,beta_leave_one,beta<0.8,0.0,
always_residual,strict_output_proxy,baseline,196,35.30822065418469,0.9890349054214905,-0.07962455747307993,0.19567916472488933,196,0,0.4744897959183674,1.0,0.4744897959183674,47,34,beta_leave_one,beta<0.8,-0.13876485846158715,
two_way_oracle,strict_output_proxy,oracle,196,35.961654448058354,0.9895339349702913,0.5738092364005948,0.8491129585985641,93,103,1.0,1.0,1.0,0,0,beta_leave_one,beta<0.8,1.0,
decision_stump,strict_output_proxy,stump,196,35.3457396494405,0.9886898793736283,-0.04210556221726118,0.2331981599807081,116,80,0.46551724137931033,0.5806451612903226,0.4846938775510204,28,21,beta_leave_one,beta<0.8,-0.07337902485045732,
ridge_logistic,strict_output_proxy,logistic,196,35.39418940564009,0.9888524808445756,0.006344193982324394,0.28164791618029367,169,27,0.4911242603550296,0.8924731182795699,0.5102040816326531,37,30,beta_leave_one,beta<0.8,0.01105627720829385,0.4551794639081575
always_lfv1,strict_output_proxy,baseline,218,30.567693412561603,0.9788915744615257,0.0,0.36535855964535896,0,218,,0.0,0.48623853211009177,0,0,beta_leave_one,beta>=1.7,0.0,
always_residual,strict_output_proxy,baseline,218,30.39863222243345,0.9788570959086812,-0.16906119012814788,0.19629736951721113,218,0,0.5137614678899083,1.0,0.5137614678899083,49,38,beta_leave_one,beta>=1.7,-0.3220017603081646,
two_way_oracle,strict_output_proxy,oracle,218,31.092725294270416,0.9800115394482919,0.5250318817088194,0.8903904413541784,112,106,1.0,1.0,1.0,0,0,beta_leave_one,beta>=1.7,1.0,
decision_stump,strict_output_proxy,stump,218,30.396735245700715,0.9786038108921926,-0.17095816686088247,0.19440039278447654,164,54,0.4817073170731707,0.7053571428571429,0.45871559633027525,38,29,beta_leave_one,beta>=1.7,-0.32561482991178653,
ridge_logistic,strict_output_proxy,logistic,218,30.504632273734202,0.9787216634925352,-0.06306113882739543,0.3022974208179635,115,103,0.5304347826086957,0.5446428571428571,0.518348623853211,25,17,beta_leave_one,beta>=1.7,-0.12010916103256543,0.5054559753492777
always_lfv1,strict_output_proxy,baseline,201,32.708904872369175,0.9841775173571572,0.0,0.09890395262523503,0,201,,0.0,0.4925373134328358,0,0,degradation_combo_group5,0,0.0,
always_residual,strict_output_proxy,baseline,201,32.65704601531476,0.9843229535800307,-0.05185885705441115,0.04704509557082388,201,0,0.5074626865671642,1.0,0.5074626865671642,45,35,degradation_combo_group5,0,-0.08391657571571237,
two_way_oracle,strict_output_proxy,oracle,201,33.32688596385336,0.9852840417060093,0.6179810914841846,0.7168850441094196,102,99,1.0,1.0,1.0,0,0,degradation_combo_group5,0,1.0,
decision_stump,strict_output_proxy,stump,201,32.787581588295716,0.9841569327003327,0.07867671592654761,0.17758066855178264,73,128,0.5616438356164384,0.4019607843137255,0.5373134328358209,15,10,degradation_combo_group5,0,0.12731249711474565,
ridge_logistic,strict_output_proxy,logistic,201,32.699844915738545,0.9841854922213957,-0.009059956630621752,0.08984399599461328,134,67,0.5,0.6568627450980392,0.4925373134328358,32,22,degradation_combo_group5,0,-0.014660572557103254,0.5
