group_name,group_value,num_images,mean_baseline_psnr,mean_lfv1_psnr,mean_residual_psnr,mean_lfv1_delta_baseline_psnr,mean_residual_delta_baseline_psnr,mean_residual_delta_lfv1_psnr,median_residual_delta_lfv1_psnr,lfv1_better_030db_count,lfv1_worse_030db_count,residual_better_030db_count,residual_worse_030db_count,residual_over_lfv1_030db_count,residual_under_lfv1_030db_count,mean_lfv1_residual_cosine,mean_rescalib_residual_cosine,mean_residual_vs_lfv1_cosine,mean_delta_e_change_residual_vs_lfv1,mean_luma_abs_bias_change_residual_vs_lfv1,mean_dark_channel_abs_bias_change_residual_vs_lfv1,mean_edge_error_change_residual_vs_lfv1
beta_bin,1.1<=beta<1.4,5,32.98886648982478,32.28737020931416,31.822333977443243,-0.7014962805106173,-1.16653251238154,-0.46503623187092274,0.24474973922054488,0,3,2,3,2,2,0.14832470938563347,0.272433215379715,0.3053152084350586,0.0860393762588501,-0.0012092769145965576,-0.001133263111114502,0.0004016447812318802
beta_bin,1.4<=beta<1.7,5,30.70020127079684,30.519389680240373,30.520962399883206,-0.1808115905564634,-0.17923887091363538,0.0015727196428279911,-0.08441442144205524,1,2,3,2,2,2,0.24563174545764924,0.2863146599382162,0.20918872058391572,-0.10175955295562744,0.0011456727981567383,-0.0017702192068099975,-0.0004280539229512215
beta_bin,beta<0.8,3,33.51868634494151,33.820134080987735,32.24823504980919,0.301447736046228,-1.2704512951323157,-1.5718990311785437,-1.9215718328594562,2,1,0,2,0,2,0.351511870821317,-0.11050019164880116,-0.09546862045923869,0.5893842379252116,0.00526803731918335,0.0056489308675130205,0.0018844713146487873
beta_bin,beta>=1.7,5,27.3822124939064,27.458089627325183,27.407939337637366,0.07587713341878129,0.025726843730961946,-0.05015028968781934,0.5540160898947519,2,2,4,1,3,2,0.2728699126280844,0.21047428846359253,0.07722832560539246,0.23714196681976318,0.004722952842712402,0.004526394605636597,0.00020468607544898987
lfv1_relation,gain>=0.30,6,31.6355355726789,32.61512589172884,32.04022601357766,0.9795903190499468,0.4046904408987639,-0.5748998781511828,-0.45155134330562596,6,0,4,1,1,4,0.5859022339185079,0.35853730887174606,0.026419736444950104,0.27324098348617554,0.0022255033254623413,0.0016659547885258992,0.0006374128473301729
lfv1_relation,regress<=-0.30,9,32.85499289926142,31.58430602425993,31.064286042646124,-1.270686875001494,-1.7907068566153006,-0.5200199816138067,-0.08441442144205524,0,9,2,7,3,4,-0.02433895728447371,-0.020525444092022047,0.14678005874156952,0.22097104125552708,0.004142714871300591,0.0026388929949866403,6.777275767591264e-05
lfv1_relation,small_gain,3,28.07158791046363,28.146722656864984,28.156533892087992,0.07513474640135698,0.08494598162436162,0.009811235223004644,0.32156642252742884,0,0,2,1,2,1,0.25949568549791974,0.39613328874111176,0.3611398935317993,-0.30425794919331867,-0.004870901505152385,-0.005266110102335612,0.00030497989306847256
lfv1_relation,small_regress,2,30.511603679757805,30.385371777542204,31.940173951738903,-0.12623190221559888,1.4285702719810995,1.5548021741966984,1.5548021741966984,0,0,2,0,2,0,0.26396553963422775,0.5057603865861893,0.5276459455490112,-0.2560684084892273,-0.002131149172782898,-0.003806889057159424,-0.0015431256033480167
residual_relation,gain>=0.30,10,28.957655148054336,29.272499631075494,29.80515526106732,0.3148444830211673,0.8475001130129914,0.5326556299918241,0.6699897842611531,4,2,10,0,7,3,0.32170294714160264,0.4647928386926651,0.317119462788105,-0.12819182872772217,-0.000534975528717041,-0.0012461423873901367,-0.0002703598700463772
residual_relation,regress<=-0.30,9,33.32658136682391,32.322526284395884,31.183938808572837,-1.0040550824280297,-2.1426425582510835,-1.1385874758230539,-1.0780961954859691,1,7,0,9,1,6,0.09728339935342471,-0.10374556502534284,0.0018574214643902248,0.38684512509240043,0.004142512877782186,0.0025833315319485134,0.0005607637059357432
