name,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,median_delta_lfv1_psnr,p10_delta_lfv1_psnr,p90_delta_lfv1_psnr,three_way_accuracy,two_way_accuracy_on_pair_rows,residual_selection_count,lfv1_selection_count,baseline_selection_count,residual_precision_vs_lfv1,residual_recall_vs_lfv1,lost_lfv1_gain_selected_count,residual_worst_selected_count,residual_beats_both_selected_count,mitigates_lfv1_regression_selected_count,feature,threshold,op,feature_class,selected_fraction
rule,1000,32.468589703199235,0.9846965069770813,0.040315223259931594,0.24327425913600728,0.0,-1.4368177277113456,1.6109987556379814,0.398,0.545,800,200,0,0.53375,0.8388998035363457,160,120,245,94,baseline_saturation_mean,0.1469220995903015,>=,proxy_or_output_feature,0.8
rule,1000,32.468571706510886,0.9844304594397545,0.04029722657156389,0.24325626244763984,0.0,-1.0817237544881972,1.2075523387761118,0.363,0.519,550,450,0,0.5254545454545455,0.5677799607072691,112,86,161,72,baseline_saturation_bias,-0.001789003610610962,>=,gt_aware_diagnostic,0.55
rule,1000,32.46853832865018,0.9846051228642464,0.040263848710913305,0.24322288458698876,0.0,-1.0413791455411618,1.2013581913641305,0.365,0.537,600,400,0,0.5383333333333333,0.6345776031434185,121,87,178,78,lfv1_saturation_mean,0.2366144746541977,>=,proxy_or_output_feature,0.6
rule,1000,32.46846128204837,0.9846551750898361,0.04018680210908456,0.2431458379851603,0.0,-1.1600873949234958,1.2724219685285703,0.371,0.529,650,350,0,0.5292307692307693,0.6758349705304518,136,94,199,79,lfv1_dark_channel_mean,0.29245766401290896,<=,proxy_or_output_feature,0.65
rule,1000,32.4682628002797,0.984604027748108,0.039988320340418486,0.24294735621649396,0.0,-1.0326994087526629,1.1695623603740473,0.366,0.535,600,400,0,0.5366666666666666,0.6326129666011788,123,86,179,75,baseline_saturation_mean,0.2344404727220535,>=,proxy_or_output_feature,0.6
rule,1000,32.46818622860325,0.9845611975193024,0.03991174866396041,0.24287078454003588,0.0,-0.19137414759012253,0.5325700233966606,0.35,0.514,251,749,0,0.545816733067729,0.2691552062868369,45,43,74,38,lfv1_edge_error,0.01818027812987566,>=,gt_aware_diagnostic,0.251
rule,1000,32.46810645098758,0.9845446408987045,0.039831971048293495,0.2427910069243687,0.0,0.0,0.0,0.343,0.511,100,900,0,0.6,0.11787819253438114,15,15,29,22,lfv1_delta_e_p95,10.992456245422364,>=,gt_aware_diagnostic,0.1
rule,1000,32.467984529347916,0.9845025982260704,0.039710049408620496,0.24266908528469613,0.0,-1.1078040373517144,1.2689826632477033,0.377,0.531,550,450,0,0.5363636363636364,0.5795677799607073,118,85,172,71,residual_lfv1_dark_channel_mean_delta,-0.00039575509727001184,>=,proxy_or_output_feature,0.55
rule,1000,32.46795864748393,0.9846153380870819,0.03968416754462665,0.24264320342070234,0.0,-1.2983370367626492,1.4689484200244327,0.378,0.514,649,351,0,0.5177195685670262,0.6601178781925344,135,101,201,68,residual_luma_std,0.2493678480386734,>=,proxy_or_output_feature,0.649
rule,1000,32.467853999441125,0.9844950912594795,0.03957951950184094,0.24253855537791666,0.0,0.0,0.4534666123926185,0.354,0.524,201,799,0,0.582089552238806,0.22986247544204322,47,29,72,36,residual_lfv1_luma_mean_delta,0.005194807052612304,>=,proxy_or_output_feature,0.201
rule,1000,32.46768933303193,0.9844153127074242,0.03941485309260849,0.24237388896868428,0.0,-1.018574940763899,1.16042219664027,0.36,0.512,501,499,0,0.5209580838323353,0.5127701375245579,101,83,147,64,baseline_saturation_bias,-0.0002194046974182129,>=,gt_aware_diagnostic,0.501
rule,1000,32.46760784959974,0.984484429359436,0.03933336966044342,0.24229240553651865,0.0,0.0,0.0,0.346,0.511,100,900,0,0.6,0.11787819253438114,14,14,37,13,lfv1_luma_abs_bias,0.03542345166206359,>=,gt_aware_diagnostic,0.1
rule,1000,32.46758534603988,0.9844807500243187,0.039310866100588274,0.24226990197666382,0.0,-0.8554396411247546,1.159471458727584,0.382,0.548,399,601,0,0.5714285714285714,0.44793713163064836,81,56,144,46,residual_lfv1_lap_var_delta,0.0006840765476226806,>=,proxy_or_output_feature,0.399
rule,1000,32.46746625649479,0.9844692883491516,0.03919177655549828,0.2421508124315738,0.0,0.0,0.0,0.356,0.525,100,900,0,0.67,0.13163064833005894,8,15,41,13,image_id,900.1,>=,proxy_or_output_feature,0.1
rule,1000,32.467344974014566,0.9844777951836586,0.03907049407526277,0.24202952995133845,0.0,-1.1790175572246269,1.3844585512094985,0.39,0.538,599,401,0,0.5392320534223706,0.6345776031434185,116,94,198,65,residual_lfv1_highfreq_abs_mean_delta,1.9593536853790285e-05,>=,proxy_or_output_feature,0.599
rule,1000,32.46728020371471,0.9844458813071251,0.0390057237753925,0.24196475965146838,0.0,-0.9050622167784013,1.1201070820775254,0.355,0.51,451,549,0,0.5210643015521065,0.46168958742632615,93,73,133,59,baseline_saturation_bias,0.0011551648378372188,>=,gt_aware_diagnostic,0.451
rule,1000,32.46695876008741,0.9845292984843254,0.03868428014811331,0.24164331602418893,0.0,0.0,0.0,0.342,0.518,151,849,0,0.5894039735099338,0.17485265225933203,35,20,55,28,residual_lfv1_luma_mean_delta,0.006721630692481995,>=,proxy_or_output_feature,0.151
