eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,intervention_recall,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,official_preserve_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,low_residual_preserve_rate,simulated_mean_psnr_gain,bootstrap_gain_p05,official_psnr,sim_psnr,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,split_family,split,train_n,valid_n,control
250,210,40,0.0,0.0,0.0,125,0.0,250,0.0,1.0,125,0.0,152,0.0,1.0,0.0,0.0,41.996655378489706,41.996655378489706,0.0,-0.1471306768495666,C3_both,decision_tree,0.2,0.95,11493,11465,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.008,1.0,0.02127659574468085,114,0.0,210,0.0,1.0,101,0.0,162,0.006172839506172839,0.9938271604938271,0.018155703946650958,0.0,41.507470099469764,41.52562580341641,0.0577437364286344,0.35323946767642744,C3_both,decision_tree,0.2,0.9,11493,11465,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.132,0.75,0.1951219512195122,94,0.0851063829787234,152,0.006578947368421052,0.993421052631579,68,0.014705882352941176,250,0.132,0.868,0.10199377657947939,0.0664852551690655,38.83344644305326,38.935440219632746,0.23742524698461015,0.22512316696220455,C3_both,decision_tree,0.2,0.7,11493,11465,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.596,0.8014184397163121,0.8432835820895522,99,0.2828282828282828,61,0.39344262295081966,0.6065573770491803,33,0.24242424242424243,59,0.5932203389830508,0.4067796610169492,0.686303976131991,0.5511238064016766,33.84071671144422,34.52702068757621,0.8935507559022159,0.5194891589889626,C3_both,hgb,0.2,0.475,11493,11465,671,random,random_1,750,250,real
250,219,31,0.656,0.6824324324324325,0.8632478632478633,102,0.46078431372549017,52,0.46153846153846156,0.5384615384615384,19,0.21052631578947367,66,0.696969696969697,0.303030303030303,0.5228700112802462,0.41288057852693416,34.29031846921945,34.8131884804997,0.8708376170085057,0.37888774801617625,C3_both,hgb,0.2,0.42499999999999993,11493,11465,685,random,random_2,750,250,real
250,227,23,0.588,0.7591240875912408,0.8524590163934426,105,0.3142857142857143,65,0.3384615384615385,0.6615384615384615,34,0.14705882352941177,60,0.6166666666666667,0.3833333333333333,0.6663947256173144,0.5327604066286038,34.13535826605321,34.801752991670526,0.8982916809896699,0.49561525845056126,C3_both,hgb,0.2,0.44999999999999996,11493,11465,677,random,random_3,750,250,real
250,210,40,0.176,0.5833333333333334,0.24705882352941178,125,0.12,250,0.176,0.8240000000000001,125,0.12,152,0.18421052631578946,0.8157894736842105,0.02540893834203834,0.008829699406985766,41.996655378489706,42.02206431683173,0.1247711905727233,0.21130155860191085,C3_both,hgb,0.2,0.49999999999999994,11493,11465,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.22,0.7111111111111111,0.3404255319148936,114,0.11403508771929824,210,0.1761904761904762,0.8238095238095238,101,0.09900990099009901,162,0.16049382716049382,0.8395061728395061,0.13647838379586857,0.07883623140866579,41.507470099469764,41.64394848326563,0.4340658916487977,0.4386124679333533,C3_both,hgb,0.2,0.44999999999999996,11493,11465,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.452,0.7663551401869159,0.6666666666666666,94,0.26595744680851063,152,0.23026315789473684,0.7697368421052632,68,0.1323529411764706,250,0.452,0.548,0.28290484217216944,0.22214089490480096,38.83344644305326,39.11635128522543,0.6585573578945549,0.4426920615915913,C3_both,hgb,0.2,0.44999999999999996,11493,11465,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.608,0.8057553956834532,0.835820895522388,99,0.2727272727272727,61,0.4262295081967213,0.5737704918032787,33,0.18181818181818182,59,0.5932203389830508,0.4067796610169492,0.6760159075621635,0.5453751020666024,33.84071671144422,34.51673261900639,0.8801559457786399,0.4589744959421448,C2_depthanything_shuffled_depth,logistic,0.2,0.125,11355,11327,671,random,random_1,750,250,real
250,219,31,0.652,0.673469387755102,0.8461538461538461,102,0.47058823529411764,52,0.4807692307692308,0.5192307692307692,19,0.3684210526315789,66,0.6666666666666666,0.33333333333333337,0.5137480867561549,0.3998305796105794,34.29031846921945,34.8040665559756,0.8556450933530737,0.4122951315769736,C2_depthanything_shuffled_depth,logistic,0.2,0.125,11355,11327,685,random,random_2,750,250,real
250,227,23,0.604,0.7518248175182481,0.8442622950819673,105,0.3238095238095238,65,0.5230769230769231,0.4769230769230769,34,0.29411764705882354,60,0.6,0.4,0.6341149532702264,0.5047341497315992,34.13535826605321,34.76947321932344,0.8547789551997584,0.4385373115085831,C2_depthanything_shuffled_depth,logistic,0.2,0.125,11355,11327,677,random,random_3,750,250,real
250,210,40,0.324,0.5454545454545454,0.4235294117647059,125,0.24,250,0.324,0.6759999999999999,125,0.24,152,0.32894736842105265,0.6710526315789473,0.05627944975208541,0.025834969620823045,41.996655378489706,42.052934828241796,0.2763615644156085,0.1373050277185982,C2_depthanything_shuffled_depth,logistic,0.2,0.125,11355,11327,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.428,0.5617977528089888,0.5319148936170213,114,0.34210526315789475,210,0.3952380952380952,0.6047619047619048,101,0.3564356435643564,162,0.4382716049382716,0.5617283950617284,0.17534871443087813,0.11297790151857513,41.507470099469764,41.68281881390064,0.5576919506370471,0.3465554765716216,C2_depthanything_shuffled_depth,logistic,0.2,0.1,11355,11327,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.552,0.6859504132231405,0.6747967479674797,94,0.40425531914893614,152,0.47368421052631576,0.5263157894736843,68,0.38235294117647056,250,0.552,0.44799999999999995,0.27195668920699195,0.2087377892647009,38.83344644305326,39.10540313226025,0.633071803687657,0.22623645183882476,C2_depthanything_shuffled_depth,logistic,0.2,0.125,11355,11327,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.16,0.8157894736842105,0.23134328358208955,99,0.0707070707070707,61,0.01639344262295082,0.9836065573770492,33,0.030303030303030304,59,0.0847457627118644,0.9152542372881356,0.25418922598337224,0.16490015579950099,33.84071671144422,34.09490593742759,0.3309480680845703,0.3534317079515537,C2_depthanything_shuffled_depth,decision_tree,0.2,0.7,11355,11327,671,random,random_1,750,250,real
250,219,31,0.028,0.4,0.017094017094017096,102,0.029411764705882353,52,0.09615384615384616,0.9038461538461539,19,0.10526315789473684,66,0.09090909090909091,0.9090909090909091,0.0007156937664913698,-0.007730074606958241,34.29031846921945,34.29103416298593,0.0011919847011174966,0.12280935906801914,C2_depthanything_shuffled_depth,decision_tree,0.2,0.775,11355,11327,685,random,random_2,750,250,real
250,227,23,0.032,0.75,0.04918032786885246,105,0.01904761904761905,65,0.015384615384615385,0.9846153846153847,34,0.029411764705882353,60,0.0,1.0,0.03062882271586801,0.004612190821348375,34.13535826605321,34.16598708876908,0.04128726652013105,0.3563552065262744,C2_depthanything_shuffled_depth,decision_tree,0.2,0.875,11355,11327,677,random,random_3,750,250,real
250,210,40,0.0,0.0,0.0,125,0.0,250,0.0,1.0,125,0.0,152,0.0,1.0,0.0,0.0,41.996655378489706,41.996655378489706,0.0,-0.1471306768495666,C2_depthanything_shuffled_depth,decision_tree,0.2,0.95,11355,11327,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.008,1.0,0.02127659574468085,114,0.0,210,0.0,1.0,101,0.0,162,0.006172839506172839,0.9938271604938271,0.018155703946650958,0.0,41.507470099469764,41.52562580341641,0.0577437364286344,0.3532394676764274,C2_depthanything_shuffled_depth,decision_tree,0.2,0.9,11355,11327,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.132,0.75,0.1951219512195122,94,0.0851063829787234,152,0.006578947368421052,0.993421052631579,68,0.014705882352941176,250,0.132,0.868,0.10199377657947939,0.0664852551690655,38.83344644305326,38.935440219632746,0.23742524698461015,0.22512316696220455,C2_depthanything_shuffled_depth,decision_tree,0.2,0.7,11355,11327,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.648,0.7748344370860927,0.8731343283582089,99,0.3434343434343434,61,0.4098360655737705,0.5901639344262295,33,0.30303030303030304,59,0.6271186440677966,0.3728813559322034,0.6951612799359622,0.5576337333249595,33.84071671144422,34.53587799138018,0.905082745785037,0.5196913468950717,C2_depthanything_shuffled_depth,hgb,0.2,0.44999999999999996,11355,11327,671,random,random_1,750,250,real
250,219,31,0.624,0.6879432624113475,0.8290598290598291,102,0.43137254901960786,52,0.40384615384615385,0.5961538461538461,19,0.21052631578947367,66,0.6363636363636364,0.36363636363636365,0.5025420913055682,0.3982793952213858,34.29031846921945,34.79286056052502,0.8369815590828577,0.380151665525388,C2_depthanything_shuffled_depth,hgb,0.2,0.44999999999999996,11355,11327,685,random,random_2,750,250,real
250,227,23,0.568,0.7727272727272727,0.8360655737704918,105,0.2857142857142857,65,0.3076923076923077,0.6923076923076923,34,0.14705882352941177,60,0.5833333333333334,0.41666666666666663,0.663335543985027,0.5271739249783564,34.13535826605321,34.79869381003823,0.8941679427527347,0.501284272675404,C2_depthanything_shuffled_depth,hgb,0.2,0.475,11355,11327,677,random,random_3,750,250,real
250,210,40,0.164,0.5588235294117647,0.2235294117647059,125,0.12,250,0.164,0.836,125,0.12,152,0.16447368421052633,0.8355263157894737,0.024242787782733956,0.008166279390883486,41.996655378489706,42.02089816627243,0.11904478076713428,0.19021517160829765,C2_depthanything_shuffled_depth,hgb,0.2,0.49999999999999994,11355,11327,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.172,0.7714285714285715,0.2872340425531915,114,0.07017543859649122,210,0.12857142857142856,0.8714285714285714,101,0.0594059405940594,162,0.12345679012345678,0.8765432098765432,0.13335193790477118,0.07699280382167396,41.507470099469764,41.64082203737454,0.4241223131445218,0.458978828643829,C2_depthanything_shuffled_depth,hgb,0.2,0.49999999999999994,11355,11327,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.456,0.75,0.6585365853658537,94,0.2872340425531915,152,0.23026315789473684,0.7697368421052632,68,0.14705882352941177,250,0.456,0.544,0.27908561686433153,0.21817544850294315,38.83344644305326,39.11253205991759,0.6496668104277036,0.4205076769872386,C2_depthanything_shuffled_depth,hgb,0.2,0.44999999999999996,11355,11327,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.624,0.7832167832167832,0.835820895522388,99,0.31313131313131315,61,0.45901639344262296,0.540983606557377,33,0.21212121212121213,59,0.6101694915254238,0.38983050847457623,0.6771252140765655,0.5473759838037067,33.84071671144422,34.517841925520784,0.8816002353484858,0.4570716255351796,C3_depthanything_shuffled_depth,logistic,0.2,0.125,11415,11387,671,random,random_1,750,250,real
250,219,31,0.66,0.6644295302013423,0.8461538461538461,102,0.49019607843137253,52,0.5,0.5,19,0.42105263157894735,66,0.6818181818181818,0.31818181818181823,0.5117958304193675,0.3983050822925017,34.29031846921945,34.802114299638816,0.8523936193357458,0.4135963789636459,C3_depthanything_shuffled_depth,logistic,0.2,0.125,11415,11387,685,random,random_2,750,250,real
250,227,23,0.6,0.762962962962963,0.8442622950819673,105,0.3047619047619048,65,0.5230769230769231,0.4769230769230769,34,0.29411764705882354,60,0.6,0.4,0.636762744743013,0.5074812651750497,34.13535826605321,34.77212101079622,0.858348144692962,0.4435795327422922,C3_depthanything_shuffled_depth,logistic,0.2,0.125,11415,11387,677,random,random_3,750,250,real
250,210,40,0.34,0.5142857142857142,0.4235294117647059,125,0.272,250,0.34,0.6599999999999999,125,0.272,152,0.3355263157894737,0.6644736842105263,0.055284390679209164,0.02503727408827684,41.996655378489706,42.05193976916891,0.27147530338645137,0.13683777564912514,C3_depthanything_shuffled_depth,logistic,0.2,0.1,11415,11387,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.42,0.5632183908045977,0.5212765957446809,114,0.3333333333333333,210,0.38571428571428573,0.6142857142857143,101,0.3465346534653465,162,0.42592592592592593,0.5740740740740741,0.1748607892455156,0.11155649878025213,41.507470099469764,41.682330888715285,0.5561401174840471,0.3452417035632009,C3_depthanything_shuffled_depth,logistic,0.2,0.1,11415,11387,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.556,0.6859504132231405,0.6747967479674797,94,0.40425531914893614,152,0.47368421052631576,0.5263157894736843,68,0.36764705882352944,250,0.556,0.44399999999999995,0.27742804799164106,0.21099726086111292,38.83344644305326,39.1108744910449,0.6458082544236923,0.23165234094153542,C3_depthanything_shuffled_depth,logistic,0.2,0.1,11415,11387,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.16,0.8157894736842105,0.23134328358208955,99,0.0707070707070707,61,0.01639344262295082,0.9836065573770492,33,0.030303030303030304,59,0.0847457627118644,0.9152542372881356,0.25418922598337224,0.16490015579950099,33.84071671144422,34.09490593742759,0.3309480680845703,0.3534317079515537,C3_depthanything_shuffled_depth,decision_tree,0.2,0.7,11415,11387,671,random,random_1,750,250,real
250,219,31,0.028,0.4,0.017094017094017096,102,0.029411764705882353,52,0.09615384615384616,0.9038461538461539,19,0.10526315789473684,66,0.09090909090909091,0.9090909090909091,0.0007156937664913698,-0.007730074606958241,34.29031846921945,34.29103416298593,0.0011919847011174966,0.1313287627774768,C3_depthanything_shuffled_depth,decision_tree,0.2,0.775,11415,11387,685,random,random_2,750,250,real
250,227,23,0.032,0.75,0.04918032786885246,105,0.01904761904761905,65,0.015384615384615385,0.9846153846153847,34,0.029411764705882353,60,0.0,1.0,0.03062882271586801,0.004612190821348375,34.13535826605321,34.16598708876908,0.04128726652013105,0.3563552065262745,C3_depthanything_shuffled_depth,decision_tree,0.2,0.875,11415,11387,677,random,random_3,750,250,real
250,210,40,0.0,0.0,0.0,125,0.0,250,0.0,1.0,125,0.0,152,0.0,1.0,0.0,0.0,41.996655378489706,41.996655378489706,0.0,-0.1471306768495666,C3_depthanything_shuffled_depth,decision_tree,0.2,0.95,11415,11387,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.008,1.0,0.02127659574468085,114,0.0,210,0.0,1.0,101,0.0,162,0.006172839506172839,0.9938271604938271,0.018155703946650958,0.0,41.507470099469764,41.52562580341641,0.0577437364286344,0.3532394676764274,C3_depthanything_shuffled_depth,decision_tree,0.2,0.9,11415,11387,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.132,0.75,0.1951219512195122,94,0.0851063829787234,152,0.006578947368421052,0.993421052631579,68,0.014705882352941176,250,0.132,0.868,0.10199377657947939,0.0664852551690655,38.83344644305326,38.935440219632746,0.23742524698461015,0.22512316696220447,C3_depthanything_shuffled_depth,decision_tree,0.2,0.7,11415,11387,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.612,0.8068965517241379,0.8731343283582089,99,0.2828282828282828,61,0.3770491803278688,0.6229508196721312,33,0.2727272727272727,59,0.6101694915254238,0.38983050847457623,0.6974521672441394,0.5608227111475008,33.84071671144422,34.53816887868836,0.9080654242439985,0.5202769431308608,C3_depthanything_shuffled_depth,hgb,0.2,0.475,11415,11387,671,random,random_1,750,250,real
250,219,31,0.656,0.6870748299319728,0.8632478632478633,102,0.45098039215686275,52,0.46153846153846156,0.5384615384615384,19,0.21052631578947367,66,0.696969696969697,0.303030303030303,0.524063913254481,0.41389110227178405,34.29031846921945,34.81438238247392,0.8728260552967118,0.3823760046453406,C3_depthanything_shuffled_depth,hgb,0.2,0.42499999999999993,11415,11387,685,random,random_2,750,250,real
250,227,23,0.536,0.7903225806451613,0.8032786885245902,105,0.24761904761904763,65,0.3076923076923077,0.6923076923076923,34,0.14705882352941177,60,0.5833333333333334,0.41666666666666663,0.6446815401334618,0.5081782286359192,34.13535826605321,34.780039806186664,0.869022580953108,0.4976572507508318,C3_depthanything_shuffled_depth,hgb,0.2,0.49999999999999994,11415,11387,677,random,random_3,750,250,real
250,210,40,0.224,0.6222222222222222,0.32941176470588235,125,0.136,250,0.224,0.776,125,0.136,152,0.25,0.75,0.04298566729196551,0.023900948260993482,41.996655378489706,42.039641045781664,0.2110821323340364,0.22318476159919626,C3_depthanything_shuffled_depth,hgb,0.2,0.44999999999999996,11415,11387,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.288,0.6428571428571429,0.3829787234042553,114,0.17543859649122806,210,0.24761904761904763,0.7523809523809524,101,0.16831683168316833,162,0.20987654320987653,0.7901234567901234,0.1489035848262349,0.09069343200759443,41.507470099469764,41.656373684296,0.4735839150467622,0.4336792621079562,C3_depthanything_shuffled_depth,hgb,0.2,0.42499999999999993,11415,11387,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.46,0.7314814814814815,0.6422764227642277,94,0.30851063829787234,152,0.23026315789473684,0.7697368421052632,68,0.16176470588235295,250,0.46,0.54,0.2701352669129587,0.20892606374880449,38.83344644305326,39.10358170996622,0.6288318230483763,0.42464042685824976,C3_depthanything_shuffled_depth,hgb,0.2,0.42499999999999993,11415,11387,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.596,0.8308823529411765,0.8432835820895522,99,0.23232323232323232,61,0.4426229508196721,0.5573770491803278,33,0.18181818181818182,59,0.5932203389830508,0.4067796610169492,0.6804095011240031,0.5496844248565277,33.84071671144422,34.52112621256823,0.8858762956306622,0.45055062949231117,C2_midas_shuffled_depth,logistic,0.2,0.125,11355,11327,671,random,random_1,750,250,real
250,219,31,0.656,0.6621621621621622,0.8376068376068376,102,0.49019607843137253,52,0.4807692307692308,0.5192307692307692,19,0.42105263157894735,66,0.6818181818181818,0.31818181818181823,0.5080480769620472,0.3963964439470185,34.29031846921945,34.7983665461815,0.8461517530601927,0.4046148402829583,C2_midas_shuffled_depth,logistic,0.2,0.125,11355,11327,685,random,random_2,750,250,real
250,227,23,0.612,0.75,0.860655737704918,105,0.3333333333333333,65,0.5230769230769231,0.4769230769230769,34,0.29411764705882354,60,0.6166666666666667,0.3833333333333333,0.6398041765485036,0.5121901126000568,34.13535826605321,34.775162442601705,0.8624479563873579,0.43116262316498544,C2_midas_shuffled_depth,logistic,0.2,0.125,11355,11327,677,random,random_3,750,250,real
250,210,40,0.34,0.5588235294117647,0.4470588235294118,125,0.24,250,0.34,0.6599999999999999,125,0.24,152,0.35526315789473684,0.6447368421052632,0.06165548733910006,0.03008625975970249,41.996655378489706,42.0583108658288,0.30276072369042767,0.16507576750221437,C2_midas_shuffled_depth,logistic,0.2,0.1,11355,11327,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.452,0.5789473684210527,0.5851063829787234,114,0.3508771929824561,210,0.41904761904761906,0.5809523809523809,101,0.36633663366336633,162,0.4506172839506173,0.5493827160493827,0.18375792138596178,0.12232504817133977,41.507470099469764,41.69122802085572,0.5844372110474958,0.35082976366304996,C2_midas_shuffled_depth,logistic,0.2,0.1,11355,11327,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.556,0.680327868852459,0.6747967479674797,94,0.4148936170212766,152,0.48026315789473684,0.5197368421052632,68,0.39705882352941174,250,0.556,0.44399999999999995,0.27335176094737934,0.20905598588164845,38.83344644305326,39.10679820400065,0.6363193082279425,0.21115587782688702,C2_midas_shuffled_depth,logistic,0.2,0.125,11355,11327,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.16,0.8157894736842105,0.23134328358208955,99,0.0707070707070707,61,0.01639344262295082,0.9836065573770492,33,0.030303030303030304,59,0.0847457627118644,0.9152542372881356,0.25418922598337224,0.16490015579950099,33.84071671144422,34.09490593742759,0.3309480680845703,0.3534317079515537,C2_midas_shuffled_depth,decision_tree,0.2,0.7,11355,11327,671,random,random_1,750,250,real
